dataset,sensitive_feature,dataset_size,test_size,run_adv,rounds,local_epochs,client_num,batch_size,test_accuracy,M_deo,M_dpd
adult,sex,1000,0.4,-0.1,5,1,3,50,0.805,0.07787595103669032,0.03725961538461536
adult,sex,1000,0.4,0.0,5,1,3,50,0.7925,0.09081632653061228,0.04022600565014123
adult,sex,1000,0.4,0.2,5,1,3,50,0.7925,0.02644816689760504,0.020079517891525567
adult,sex,1000,0.4,0.4,5,1,3,50,0.7575,0.03367755933954414,0.014930233723289665
adult,sex,1000,0.4,0.6,5,1,3,50,0.8075,0.20422443094767984,0.10697359512525384
adult,sex,1000,0.4,0.8,5,1,3,50,0.82,0.1104146164394611,0.0532852564102565
adult,sex,1000,0.4,1.0,5,1,3,50,0.8225,0.08673456385612344,0.042151344590368955
adult,marital-status,1000,0.4,-0.1,5,1,3,50,0.7275,0.05998364454136573,0.009500950095009508
adult,marital-status,1000,0.4,0.0,5,1,3,50,0.82,0.07067677351983204,0.03392211963067043
adult,marital-status,1000,0.4,0.2,5,1,3,50,0.825,0.11919191919191924,0.042606516290726815
adult,marital-status,1000,0.4,0.4,5,1,3,50,0.7725,0.07076217360621034,0.03500000000000003
adult,marital-status,1000,0.4,0.6,5,1,3,50,0.775,0.13172327142915374,0.029549848108257448
adult,marital-status,1000,0.4,0.8,5,1,3,50,0.735,0.10217982475292753,0.044754475447544795
adult,marital-status,1000,0.4,1.0,5,1,3,50,0.805,0.04535661583866207,0.018636647904940573
adult,race,1000,0.4,-0.1,5,1,3,50,0.81,0.14863188575428438,0.047149205392784554
adult,race,1000,0.4,0.0,5,1,3,50,0.825,0.1720296537523251,0.0213769570453633
adult,race,1000,0.4,0.2,5,1,3,50,0.805,0.14268509268509272,0.07565189129728245
adult,race,1000,0.4,0.4,5,1,3,50,0.805,0.10000350830425547,0.05068245684464068
adult,race,1000,0.4,0.6,5,1,3,50,0.7925,0.08498448722852642,0.003650821434822815
adult,race,1000,0.4,0.8,5,1,3,50,0.8025,0.142534971716489,0.028611444577831158
adult,race,1000,0.4,1.0,5,1,3,50,0.655,0.14784798534798535,0.026743219762786125
german_credit,sex,1000,0.4,-0.1,5,1,3,50,0.73,0.08033011630335113,0.047860768672951415
german_credit,sex,1000,0.4,0.0,8,1,3,50,0.7875,0.10001234720335844,0.04513653802753331
german_credit,sex,1000,0.4,0.2,5,1,3,50,0.6975,0.19644005847953216,0.010025062656641603
german_credit,sex,1000,0.4,0.4,5,1,3,50,0.6875,0.07998478804437903,0.022836538461538436
german_credit,sex,1000,0.4,0.6,5,1,3,50,0.71,0.06948192116508944,0.03279921763334087
german_credit,sex,1000,0.4,0.8,5,1,3,50,0.66,0.016787511560475754,0.004002938866509598
german_credit,sex,1000,0.4,1.0,8,1,3,50,0.815,0.04235878103659263,0.018440357752989633
german_credit,marital-status,4000,0.4,-0.1,5,1,3,50,0.855,0.03776147956402681,0.005300530053005292
german_credit,marital-status,4000,0.4,0.0,5,1,3,50,0.826875,0.05213529438124276,0.025789194426140694
german_credit,marital-status,4000,0.4,0.2,5,1,3,50,0.7975,0.04053592273806528,0.0197413153061623
german_credit,marital-status,4000,0.4,0.4,5,1,3,50,0.855,0.043562095663154166,0.018121174609724178
german_credit,marital-status,4000,0.4,0.6,5,1,3,50,0.839375,0.05194415192394286,0.025859522845860183
german_credit,marital-status,4000,0.4,0.8,5,1,3,50,0.829375,0.05563577690690208,0.029030296493260277
german_credit,marital-status,4000,0.4,1.0,5,1,3,50,0.8175,0.01419538796223585,0.007133091136372505
bank_marketing,marital-status,1000,0.4,-0.1,5,1,3,50,0.78,0.07744703174437967,0.04041616646658669
bank_marketing,marital-status,1000,0.4,0.0,5,1,3,50,0.765,0.11889038148438325,0.036244399389251836
bank_marketing,marital-status,1000,0.4,0.2,5,1,3,50,0.725,0.17288750116251717,0.01650371333550049
bank_marketing,marital-status,1000,0.4,0.4,5,1,3,50,0.7,0.06002929581430283,0.02468887996788438
bank_marketing,marital-status,1000,0.4,0.6,5,1,3,50,0.75,0.15281834418295326,0.07784251456577729
bank_marketing,marital-status,1000,0.4,0.8,5,1,3,50,0.8,0.0829982858033349,0.04126602564102566
bank_marketing,marital-status,1000,0.4,1.0,5,1,3,50,0.68,0.13516148310421566,0.021537842190016088
bank_marketing,education,1000,0.4,-0.1,5,1,3,50,0.7975,0.19010744662654916,0.014250356258906471
bank_marketing,education,1000,0.4,0.0,5,1,3,50,0.82,0.11044283522873544,0.05889724310776945
bank_marketing,education,1000,0.4,0.2,5,1,3,50,0.7875,0.13837387758841846,0.06964102307172026
bank_marketing,education,1000,0.4,0.4,5,1,3,50,0.6875,0.04623567921440258,0.023264540337711026
bank_marketing,education,1000,0.4,0.6,5,1,3,50,0.6975,0.26567035194523436,0.1303138856183772
bank_marketing,education,1000,0.4,0.8,5,1,3,50,0.5675,0.06183717854957682,0.027568922305764423
bank_marketing,education,1000,0.4,1.0,5,1,3,50,0.625,0.13044429708222813,0.06723027375201288
compas,sex,1000,0.4,-0.1,5,1,3,50,0.98,0.07964036731317825,0.041134255207421644
compas,sex,1000,0.4,0.0,5,1,3,25,0.9725,0.20360077436160917,0.1032608695652174
compas,sex,1000,0.4,0.2,5,1,3,50,0.9775,0.07070591233435258,0.03602251407129453
compas,sex,1000,0.4,0.4,5,1,3,50,0.9725,0.042365340752437475,0.020032051282051266
compas,sex,1000,0.4,0.6,5,1,3,50,0.9875,0.07787859931895119,0.0405747040124152
compas,sex,1000,0.4,0.8,5,1,3,50,0.965,0.08583688356008895,0.043620364550597035
compas,sex,1000,0.4,1.0,5,1,3,25,0.97,0.15707402977139817,0.028525673105795235
compas,race,1000,0.4,-0.1,5,1,3,50,0.9775,0.05368310026878975,0.024271844660194164
compas,race,1000,0.4,0.0,5,1,3,50,0.9775,0.11419301874795407,0.0026398491514770805
compas,race,1000,0.4,0.2,5,1,3,50,0.9725,0.060136659870702325,0.029861580436034207
compas,race,1000,0.4,0.4,5,1,3,50,0.9675,0.06384509210596162,0.0054512265259683
compas,race,1000,0.4,0.6,5,1,3,50,0.9775,0.18276790315097163,0.015350383759593966
compas,race,1000,0.4,0.8,5,1,3,50,0.9625,0.0821742781983027,0.04050405040504046
compas,race,1000,0.4,1.0,5,1,3,50,0.97,0.05518756063721858,0.0289040545965476
adult,sex,200,0.4,0.0,5,1,3,10,0.8375,0.2393162393162394,0.014066496163682829
adult,sex,200,0.4,0.04,5,1,3,10,0.6875,0.4341596745486906,0.2092731829573935
adult,sex,200,0.4,0.08,5,1,3,10,0.7625,0.22928388746803074,0.0
adult,sex,200,0.4,0.12,5,1,3,10,0.85,0.0785861713106295,0.03535353535353536
adult,sex,200,0.4,0.16,5,1,3,10,0.8375,0.17663817663817666,0.06666666666666671
adult,sex,200,0.4,0.2,5,1,3,10,0.8625,0.4777777777777777,0.24435847840103164
adult,sex,200,0.4,0.24,5,1,3,10,0.7,0.2284559643255296,0.06565656565656564
adult,sex,200,0.4,0.28,5,1,3,10,0.6125,0.17173275068011912,0.024999999999999994
adult,sex,200,0.4,0.32,5,1,3,10,0.7,0.30576441102756896,0.15000000000000002
adult,sex,200,0.4,0.36,5,1,3,10,0.725,0.3727272727272727,0.05639097744360902
adult,sex,200,0.4,0.4,5,1,3,10,0.7625,0.25785285494904364,0.10416666666666669
adult,sex,200,0.4,0.4,5,1,3,10,0.7,0.2833766233766234,0.14322250639386191
